import time: self [us] | cumulative | imported package
import time:      1906 |       2923 |               streamlit.web.server.starlette.starlette_routes
import time:      2094 |     100955 |             streamlit.web.server.starlette.starlette_gzip_middleware
import time:      3612 |       3612 |                 http.cookies
import time:      1403 |       1403 |                 starlette._utils
import time:       832 |        832 |                 starlette.background
import time:      1700 |       1700 |                           python_multipart.exceptions
import time:      1358 |       3058 |                         python_multipart.decoders
import time:      3307 |       6364 |                       python_multipart.multipart
import time:      1145 |       7508 |                     python_multipart
import time:      2795 |      10303 |                   starlette.formparsers
import time:      1629 |      11932 |                 starlette.requests
import time:      1671 |      19448 |               starlette.responses
import time:      1355 |      20803 |             streamlit.web.server.starlette.starlette_path_security_middleware
import time:      1302 |       1302 |             streamlit.web.server.starlette.starlette_static_routes
import time:       905 |        905 |               streamlit.proto.BackMsg_pb2
import time:      1542 |       2446 |             streamlit.web.server.starlette.starlette_websocket
import time:      2360 |     131877 |           streamlit.web.server.starlette.starlette_app
import time:      1923 |       1923 |           streamlit.web.server.starlette.starlette_server
import time:      1125 |     145091 |         streamlit.web.server.starlette
import time:        94 |     145184 |       streamlit.web.server.starlette.starlette_app
import time:      1054 |     146237 |     streamlit.starlette
import time:       769 |        769 |           streamlit.components.types.base_custom_component
import time:      1144 |       1913 |         streamlit.components.v1.custom_component
import time:      1084 |       2997 |       streamlit.components.v1.component_registry
import time:       862 |       3859 |     streamlit.components.v1
import time:      6610 |    1664161 |   streamlit
import time:       698 |        698 |     src
import time:     10150 |      10150 |                       pydantic_core._pydantic_core
import time:     27799 |      27799 |                       pydantic_core.core_schema
import time:      2832 |      40779 |                     pydantic_core
import time:       857 |      41635 |                   pydantic.version
import time:      1270 |      42905 |                 pydantic.warnings
import time:      1302 |      44207 |               pydantic._migration
import time:      1149 |       1149 |                   typing_inspection
import time:      4491 |       4491 |                   typing_inspection.typing_objects
import time:      2829 |       8468 |                 typing_inspection.introspection
import time:      1012 |       1012 |                 pydantic._internal
import time:      2350 |       2350 |                     pydantic._internal._namespace_utils
import time:      1844 |       4194 |                   pydantic._internal._typing_extra
import time:      1461 |       5655 |                 pydantic._internal._repr
import time:      1648 |      16782 |               pydantic.errors
import time:      1457 |      62445 |             pydantic
import time:     22635 |      22635 |               annotated_types
import time:      2323 |       2323 |                     sysconfig
import time:       120 |        120 |                     _sysconfig
import time:      2589 |       5031 |                   zoneinfo._tzpath
import time:       991 |        991 |                   zoneinfo._common
import time:      1741 |       1741 |                   _zoneinfo
import time:      1208 |       8970 |                 zoneinfo
import time:      1004 |       1004 |                 pydantic._internal._import_utils
import time:      1422 |      11395 |               pydantic._internal._validators
import time:       753 |        753 |                     pydantic._internal._internal_dataclass
import time:      3163 |       3916 |                   pydantic.aliases
import time:       984 |        984 |                     pydantic._internal._core_utils
import time:      1744 |       1744 |                     pydantic._internal._forward_ref
import time:      3825 |       3825 |                     pydantic._internal._utils
import time:      1669 |       8221 |                   pydantic._internal._generics
import time:      3136 |       3136 |                     pydantic.config
import time:      1300 |       4436 |                   pydantic._internal._config
import time:      1413 |       1413 |                   pydantic._internal._docs_extraction
import time:      3146 |      21130 |                 pydantic._internal._fields
import time:      1062 |       1062 |                 pydantic.annotated_handlers
import time:      1236 |       1236 |                   pydantic._internal._core_metadata
import time:     10003 |      10003 |                   pydantic._internal._decorators
import time:      1771 |       1771 |                       pydantic.plugin
import time:      1445 |       3216 |                     pydantic.plugin._schema_validator
import time:      1270 |       4485 |                   pydantic._internal._mock_val_ser
import time:       997 |        997 |                   pydantic._internal._schema_generation_shared
import time:      6371 |      23090 |                 pydantic.json_schema
import time:     14038 |      59319 |               pydantic.types
import time:      7345 |     100693 |             pydantic.fields
import time:      1110 |       1110 |                 httpx.__version__
import time:      1664 |       1664 |                       httpx._exceptions
import time:      7999 |       7999 |                         http.cookiejar
import time:      2932 |       2932 |                             httpx._types
import time:      1157 |       1157 |                             httpx._utils
import time:      1933 |       6021 |                           httpx._multipart
import time:      1498 |       7519 |                         httpx._content
import time:       408 |        408 |                           brotli
import time:       320 |        320 |                           brotlicffi
import time:       372 |        372 |                           zstandard
import time:      1768 |       2866 |                         httpx._decoders
import time:      3384 |       3384 |                         httpx._status_codes
import time:      2270 |       2270 |                               unicodedata
import time:      1014 |       1014 |                               idna.idnadata
import time:       854 |        854 |                               idna.intranges
import time:      2307 |       6443 |                             idna.core
import time:       807 |        807 |                             idna.package_data
import time:      1141 |       8390 |                           idna
import time:      4683 |       4683 |                           httpx._urlparse
import time:      1655 |      14726 |                         httpx._urls
import time:      2791 |      39282 |                       httpx._models
import time:      1913 |      42858 |                     httpx._auth
import time:      1415 |       1415 |                     httpx._config
import time:      1048 |       1048 |                           httpx._transports.base
import time:      1534 |       2582 |                         httpx._transports.asgi
import time:      1700 |       1700 |                         httpx._transports.default
import time:      1165 |       1165 |                         httpx._transports.mock
import time:      1074 |       1074 |                         httpx._transports.wsgi
import time:      1226 |       7744 |                       httpx._transports
import time:        73 |       7817 |                     httpx._transports.base
import time:      2433 |      54522 |                   httpx._client
import time:      1009 |      55531 |                 httpx._api
import time:      1294 |       1294 |                       gettext
import time:      3107 |       3107 |                               _ctypes
import time:      1627 |       1627 |                               ctypes._endian
import time:      2866 |       7599 |                             ctypes
import time:      1837 |       1837 |                               ctypes._layout
import time:      2805 |       4641 |                             ctypes.wintypes
import time:      3562 |      15801 |                           click._winconsole
import time:      1522 |      17322 |                         click._compat
import time:       728 |        728 |                           click.globals
import time:      1198 |       1198 |                           click.utils
import time:      1563 |       3488 |                         click.exceptions
import time:      5043 |      25853 |                       click.types
import time:      1200 |       1200 |                       click._utils
import time:      1276 |       1276 |                         click.parser
import time:      1072 |       2347 |                       click.formatting
import time:      2471 |       2471 |                       click.termui
import time:      5206 |      38369 |                     click.core
import time:      1387 |       1387 |                     click.decorators
import time:      1396 |      41150 |                   click
import time:      1156 |       1156 |                     pygments
import time:      4236 |       4236 |                     pygments.lexers._mapping
import time:      1349 |       1349 |                     pygments.modeline
import time:       870 |        870 |                     pygments.plugin
import time:      2353 |       2353 |                     pygments.util
import time:      1935 |      11897 |                   pygments.lexers
import time:      1402 |       1402 |                       rich._extension
import time:      1449 |       2850 |                     rich
import time:      1040 |       1040 |                     rich._null_file
import time:       944 |        944 |                     rich.errors
import time:      1716 |       1716 |                             colorsys
import time:      1328 |       1328 |                                 rich.color_triplet
import time:      3395 |       4723 |                               rich.palette
import time:      2122 |       6844 |                             rich._palettes
import time:      1348 |       1348 |                             rich.repr
import time:      1000 |       1000 |                             rich.terminal_theme
import time:      3594 |      14500 |                           rich.color
import time:      1603 |      16102 |                         rich.style
import time:      1857 |      17958 |                       rich.default_styles
import time:      1111 |       1111 |                       rich.theme
import time:       899 |      19967 |                     rich.themes
import time:      1260 |       1260 |                     rich._emoji_replace
import time:       842 |        842 |                     rich._export_format
import time:       926 |        926 |                     rich._fileno
import time:       948 |        948 |                         rich._loop
import time:       783 |        783 |                         rich._pick
import time:      1284 |       1284 |                               rich._unicode_data._versions
import time:      1078 |       2361 |                             rich._unicode_data
import time:      2551 |       4911 |                           rich.cells
import time:      1261 |       6172 |                         rich._wrap
import time:      3156 |       3156 |                               rich.segment
import time:      1219 |       4375 |                             rich.jupyter
import time:      1344 |       1344 |                               rich.protocol
import time:      1848 |       3191 |                             rich.measure
import time:      1002 |       8567 |                           rich.constrain
import time:      1371 |       9938 |                         rich.align
import time:      1156 |       1156 |                         rich.containers
import time:      1140 |       1140 |                         rich.control
import time:      1054 |       1054 |                         rich.emoji
import time:      3169 |      24357 |                       rich.text
import time:      1138 |      25495 |                     rich._log_render
import time:      1317 |       1317 |                     rich.highlighter
import time:      2073 |       2073 |                     rich.markup
import time:       919 |        919 |                     rich.pager
import time:      1188 |       1188 |                     rich.region
import time:       926 |        926 |                     rich.screen
import time:       993 |        993 |                     rich.styled
import time:     11957 |      72692 |                   rich.console
import time:       247 |        247 |                     mmap
import time:      1012 |       1012 |                     rich.filesize
import time:      1818 |       1818 |                         rich.ansi
import time:      1099 |       2917 |                       rich.file_proxy
import time:      1060 |       1060 |                       rich.live_render
import time:      1661 |       5637 |                     rich.live
import time:      2189 |       2189 |                     rich.progress_bar
import time:       981 |        981 |                       rich._spinners
import time:      1269 |       1269 |                         rich.box
import time:      1111 |       1111 |                         rich._ratio
import time:      1213 |       1213 |                         rich.padding
import time:      5276 |       8867 |                       rich.table
import time:      1062 |      10909 |                     rich.spinner
import time:      5104 |      25096 |                   rich.progress
import time:       758 |        758 |                       pygments.filter
import time:      1275 |       1275 |                         pygments.token
import time:      1984 |       3259 |                       pygments.filters
import time:       995 |        995 |                       pygments.regexopt
import time:      2159 |       7170 |                     pygments.lexer
import time:      1341 |       1341 |                     pygments.style
import time:      1268 |       1268 |                       pygments.styles._mapping
import time:      1052 |       2319 |                     pygments.styles
import time:      3709 |      14538 |                   rich.syntax
import time:      2218 |     167587 |                 httpx._main
import time:      1533 |     225759 |               httpx
import time:      8164 |       8164 |                   pydantic.functional_validators
import time:      1270 |       1270 |                   pydantic._internal._discriminated_union
import time:      1793 |       1793 |                   pydantic._internal._known_annotated_metadata
import time:      3286 |       3286 |                   pydantic._internal._schema_gather
import time:      3689 |      18200 |                 pydantic._internal._generate_schema
import time:      1022 |       1022 |                 pydantic._internal._signature
import time:      2130 |      21351 |               pydantic._internal._model_construction
import time:      7005 |     254114 |             openai._types
import time:      1347 |       1347 |                 openai._utils._utils
import time:      1433 |       2780 |               openai._utils._logs
import time:      1207 |       1207 |               openai._utils._path
import time:       943 |        943 |               openai._utils._sync
import time:      1599 |       1599 |               openai._utils._proxy
import time:      2988 |       2988 |                 openai._utils._datetime_parse
import time:      1787 |       4775 |               openai._utils._compat
import time:      1084 |       1084 |               openai._utils._typing
import time:       959 |        959 |               openai._utils._streams
import time:       988 |        988 |                 openai._files
import time:      1317 |       2305 |               openai._utils._transform
import time:       882 |        882 |               openai._utils._reflection
import time:      1460 |      17990 |             openai._utils
import time:       860 |        860 |               pydantic.plugin._loader
import time:     29214 |      30074 |             openai._compat
import time:       822 |        822 |             openai._constants
import time:      1179 |       1179 |             pydantic._internal._serializers
import time:     15466 |     482780 |           openai._models
import time:      1888 |       1888 |           openai.types.batch_error
import time:      2675 |       2675 |           openai.types.batch_usage
import time:      1380 |       1380 |               openai.types.shared.metadata
import time:       733 |        733 |                 openai.types.shared.reasoning_effort
import time:      1981 |       2714 |               openai.types.shared.reasoning
import time:      1110 |       1110 |                 openai.types.shared.chat_model
import time:      1267 |       2377 |               openai.types.shared.all_models
import time:      1676 |       1676 |               openai.types.shared.error_object
import time:      2126 |       2126 |                 openai.types.shared.comparison_filter
import time:      1237 |       3362 |               openai.types.shared.compound_filter
import time:       964 |        964 |               openai.types.shared.responses_model
import time:       850 |        850 |               openai.types.shared.oauth_error_code
import time:       608 |        608 |                 openai.types.shared.function_parameters
import time:      1666 |       2273 |               openai.types.shared.function_definition
import time:      1437 |       1437 |               openai.types.shared.response_format_text
import time:      1962 |       1962 |               openai.types.shared.custom_tool_input_format
import time:      1257 |       1257 |               openai.types.shared.response_format_json_object
import time:      3031 |       3031 |               openai.types.shared.response_format_json_schema
import time:      1781 |       1781 |               openai.types.shared.response_format_text_python
import time:      2253 |       2253 |               openai.types.shared.response_format_text_grammar
import time:      1569 |      28881 |             openai.types.shared
import time:        70 |      28950 |           openai.types.shared.metadata
import time:      2113 |       2113 |           openai.types.batch_request_counts
import time:      4625 |     523029 |         openai.types.batch
import time:      1814 |       1814 |         openai.types.image
import time:      1691 |       1691 |         openai.types.model
import time:      1913 |       1913 |         openai.types.skill
import time:       954 |        954 |           openai.types.video_size
import time:       947 |        947 |           openai.types.video_model
import time:       852 |        852 |           openai.types.video_seconds
import time:      1648 |       1648 |           openai.types.video_create_error
import time:      2843 |       7243 |         openai.types.video
import time:      2103 |       2103 |           openai.types.file_object
import time:      1930 |       4032 |         openai.types.upload
import time:      1757 |       1757 |         openai.types.embedding
import time:       793 |        793 |         openai.types.chat_model
import time:      3962 |       3962 |           openai.types.completion_usage
import time:      2899 |       2899 |           openai.types.completion_choice
import time:      1627 |       8487 |         openai.types.completion
import time:      6240 |       6240 |         openai.types.moderation
import time:      1668 |       1668 |         openai.types.skill_list
import time:       788 |        788 |         openai.types.audio_model
import time:       646 |        646 |         openai.types.image_model
import time:       668 |        668 |         openai.types.file_content
import time:      2242 |       2242 |         openai.types.file_deleted
import time:       997 |        997 |         openai.types.file_purpose
import time:      3441 |       3441 |         openai.types.vector_store
import time:      1468 |       1468 |         openai.types.deleted_skill
import time:      1300 |       1300 |         openai.types.model_deleted
import time:       660 |        660 |         openai.types.embedding_model
import time:      3440 |       3440 |         openai.types.images_response
import time:      1034 |       1034 |         openai.types.eval_list_params
import time:       952 |        952 |         openai.types.file_list_params
import time:       842 |        842 |         openai.types.moderation_model
import time:      1982 |       1982 |         openai.types.batch_list_params
import time:      2453 |       2453 |         openai.types.image_edit_params
import time:      1338 |       1338 |         openai.types.skill_list_params
import time:      1290 |       1290 |         openai.types.video_edit_params
import time:      1158 |       1158 |         openai.types.video_list_params
import time:       757 |        757 |         openai.types.video_model_param
import time:      1065 |       1065 |               openai.types.shared_params.metadata
import time:      1694 |       1694 |               openai.types.shared_params.reasoning
import time:       942 |        942 |               openai.types.shared_params.chat_model
import time:      1629 |       1629 |                 openai.types.shared_params.comparison_filter
import time:      1892 |       3521 |               openai.types.shared_params.compound_filter
import time:       990 |        990 |               openai.types.shared_params.responses_model
import time:       742 |        742 |               openai.types.shared_params.oauth_error_code
import time:       668 |        668 |               openai.types.shared_params.reasoning_effort
import time:       632 |        632 |                 openai.types.shared_params.function_parameters
import time:       886 |       1517 |               openai.types.shared_params.function_definition
import time:       814 |        814 |               openai.types.shared_params.response_format_text
import time:      1032 |       1032 |               openai.types.shared_params.custom_tool_input_format
import time:       864 |        864 |               openai.types.shared_params.response_format_json_object
import time:      1095 |       1095 |               openai.types.shared_params.response_format_json_schema
import time:      1274 |      16214 |             openai.types.shared_params
import time:        74 |      16287 |           openai.types.shared_params.metadata
import time:      1430 |       1430 |                 openai.types.graders.python_grader
import time:      3391 |       3391 |                           openai.types.responses.web_search_tool
import time:      2685 |       2685 |                           openai.types.responses.custom_tool
import time:      1976 |       1976 |                           openai.types.responses.computer_tool
import time:      3408 |       3408 |                           openai.types.responses.function_tool
import time:      3498 |       3498 |                           openai.types.responses.namespace_tool
import time:      1696 |       1696 |                           openai.types.responses.apply_patch_tool
import time:      3076 |       3076 |                           openai.types.responses.file_search_tool
import time:      2323 |       2323 |                           openai.types.responses.tool_search_tool
import time:      1373 |       1373 |                                 openai.types.responses.inline_skill_source
import time:      1383 |       2755 |                               openai.types.responses.inline_skill
import time:      2178 |       2178 |                               openai.types.responses.skill_reference
import time:      2014 |       2014 |                               openai.types.responses.container_network_policy_disabled
import time:      1518 |       1518 |                                 openai.types.responses.container_network_policy_domain_secret
import time:      1555 |       3073 |                               openai.types.responses.container_network_policy_allowlist
import time:      2019 |      12037 |                             openai.types.responses.container_auto
import time:      1359 |       1359 |                               openai.types.responses.local_skill
import time:      1350 |       2709 |                             openai.types.responses.local_environment
import time:      1534 |       1534 |                             openai.types.responses.container_reference
import time:      1742 |      18021 |                           openai.types.responses.function_shell_tool
import time:      2314 |       2314 |                           openai.types.responses.web_search_preview_tool
import time:      2870 |       2870 |                           openai.types.responses.computer_use_preview_tool
import time:     17428 |      62681 |                         openai.types.responses.tool
import time:      3289 |       3289 |                           openai.types.responses.response_error
import time:      4289 |       4289 |                           openai.types.responses.response_usage
import time:      4094 |       4094 |                             openai.types.responses.response_input_file
import time:      3370 |       3370 |                             openai.types.responses.response_input_text
import time:      2777 |       2777 |                             openai.types.responses.response_input_image
import time:      2197 |      12437 |                           openai.types.responses.response_prompt
import time:       884 |        884 |                           openai.types.responses.response_status
import time:      1760 |       1760 |                           openai.types.responses.tool_choice_mcp
import time:      1750 |       1750 |                           openai.types.responses.tool_choice_shell
import time:      2181 |       2181 |                           openai.types.responses.tool_choice_types
import time:      1934 |       1934 |                           openai.types.responses.tool_choice_custom
import time:      1843 |       1843 |                                 openai.types.responses.response_input_content
import time:      1878 |       3720 |                               openai.types.responses.response_input_message_content_list
import time:      2229 |       5949 |                             openai.types.responses.easy_input_message
import time:      6865 |       6865 |                               openai.types.responses.response_output_text
import time:      2097 |       2097 |                               openai.types.responses.response_output_refusal
import time:      3359 |      12320 |                             openai.types.responses.response_output_message
import time:      6216 |       6216 |                             openai.types.responses.response_reasoning_item
import time:      4242 |       4242 |                             openai.types.responses.response_custom_tool_call
import time:      9010 |       9010 |                                 openai.types.responses.computer_action
import time:      1095 |      10105 |                               openai.types.responses.computer_action_list
import time:      8882 |      18986 |                             openai.types.responses.response_computer_tool_call
import time:      4705 |       4705 |                             openai.types.responses.response_function_tool_call
import time:      7088 |       7088 |                             openai.types.responses.response_function_web_search
import time:      2478 |       2478 |                             openai.types.responses.response_compaction_item_param
import time:      2970 |       2970 |                             openai.types.responses.response_file_search_tool_call
import time:      4385 |       4385 |                             openai.types.responses.response_custom_tool_call_output
import time:      3880 |       3880 |                             openai.types.responses.response_code_interpreter_tool_call
import time:      2415 |       2415 |                             openai.types.responses.response_tool_search_output_item_param
import time:      2723 |       2723 |                                 openai.types.responses.response_input_file_content
import time:      2318 |       2318 |                                 openai.types.responses.response_input_text_content
import time:      3686 |       3686 |                                 openai.types.responses.response_input_image_content
import time:      1135 |       9861 |                               openai.types.responses.response_function_call_output_item
import time:      1093 |      10953 |                             openai.types.responses.response_function_call_output_item_list
import time:      4286 |       4286 |                             openai.types.responses.response_function_shell_call_output_content
import time:      2529 |       2529 |                             openai.types.responses.response_computer_tool_call_output_screenshot
import time:     36317 |     129711 |                           openai.types.responses.response_input_item
import time:      2260 |       2260 |                           openai.types.responses.tool_choice_allowed
import time:       977 |        977 |                           openai.types.responses.tool_choice_options
import time:      1770 |       1770 |                             openai.types.responses.response_compaction_item
import time:      3044 |       3044 |                             openai.types.responses.response_tool_search_call
import time:      7633 |       7633 |                             openai.types.responses.response_apply_patch_tool_call
import time:      2759 |       2759 |                             openai.types.responses.response_tool_search_output_item
import time:      1522 |       1522 |                               openai.types.responses.response_local_environment
import time:      1728 |       1728 |                               openai.types.responses.response_container_reference
import time:      3865 |       7114 |                             openai.types.responses.response_function_shell_tool_call
import time:      3303 |       3303 |                             openai.types.responses.response_apply_patch_tool_call_output
import time:      2029 |       2029 |                             openai.types.responses.response_custom_tool_call_output_item
import time:      3171 |       3171 |                             openai.types.responses.response_computer_tool_call_output_item
import time:      3528 |       3528 |                             openai.types.responses.response_function_tool_call_output_item
import time:      4905 |       4905 |                             openai.types.responses.response_function_shell_tool_call_output
import time:     10291 |      49542 |                           openai.types.responses.response_output_item
import time:      2174 |       2174 |                               openai.types.responses.response_format_text_json_schema_config
import time:      1308 |       3482 |                             openai.types.responses.response_format_text_config
import time:      1840 |       5321 |                           openai.types.responses.response_text_config
import time:      1814 |       1814 |                           openai.types.responses.tool_choice_function
import time:      1932 |       1932 |                           openai.types.responses.tool_choice_apply_patch
import time:     12517 |     232590 |                         openai.types.responses.response
import time:      1508 |       1508 |                           openai.types.responses.web_search_tool_param
import time:      1755 |       1755 |                                 openai.types.chat.chat_completion_audio
import time:      2171 |       2171 |                                   openai.types.chat.chat_completion_message_custom_tool_call
import time:      2281 |       2281 |                                   openai.types.chat.chat_completion_message_function_tool_call
import time:      1080 |       5532 |                                 openai.types.chat.chat_completion_message_tool_call
import time:      3638 |      10924 |                               openai.types.chat.chat_completion_message
import time:      3649 |       3649 |                               openai.types.chat.chat_completion_token_logprob
import time:     12415 |      26987 |                             openai.types.chat.chat_completion
import time:      1538 |       1538 |                             openai.types.chat.chat_completion_role
import time:     14566 |      14566 |                             openai.types.chat.chat_completion_chunk
import time:      1938 |       1938 |                             openai.types.chat.completion_list_params
import time:      2509 |       2509 |                               openai.types.chat.parsed_function_tool_call
import time:      4564 |       7073 |                             openai.types.chat.parsed_chat_completion
import time:      2332 |       2332 |                             openai.types.chat.chat_completion_deleted
import time:      1243 |       1243 |                             openai.types.chat.chat_completion_modality
import time:      1869 |       1869 |                               openai.types.chat.chat_completion_audio_param
import time:      1493 |       1493 |                                   openai.types.chat.chat_completion_content_part_text_param
import time:      1625 |       3117 |                                 openai.types.chat.chat_completion_tool_message_param
import time:      3558 |       3558 |                                     openai.types.chat.chat_completion_content_part_image_param
import time:      2417 |       2417 |                                     openai.types.chat.chat_completion_content_part_input_audio_param
import time:      2370 |       8345 |                                   openai.types.chat.chat_completion_content_part_param
import time:      1641 |       9986 |                                 openai.types.chat.chat_completion_user_message_param
import time:      1762 |       1762 |                                 openai.types.chat.chat_completion_system_message_param
import time:      1765 |       1765 |                                 openai.types.chat.chat_completion_function_message_param
import time:      1611 |       1611 |                                   openai.types.chat.chat_completion_content_part_refusal_param
import time:      1397 |       1397 |                                     openai.types.chat.chat_completion_message_custom_tool_call_param
import time:      1636 |       1636 |                                     openai.types.chat.chat_completion_message_function_tool_call_param
import time:      1399 |       4431 |                                   openai.types.chat.chat_completion_message_tool_call_union_param
import time:      2118 |       8159 |                                 openai.types.chat.chat_completion_assistant_message_param
import time:      1482 |       1482 |                                 openai.types.chat.chat_completion_developer_message_param
import time:      1456 |      27726 |                               openai.types.chat.chat_completion_message_param
import time:      1866 |       1866 |                                 openai.types.chat.chat_completion_custom_tool_param
import time:      1336 |       1336 |                                 openai.types.chat.chat_completion_function_tool_param
import time:      1238 |       4439 |                               openai.types.chat.chat_completion_tool_union_param
import time:      1456 |       1456 |                               openai.types.chat.chat_completion_stream_options_param
import time:      1774 |       1774 |                               openai.types.chat.chat_completion_prediction_content_param
import time:      1346 |       1346 |                                 openai.types.chat.chat_completion_named_tool_choice_param
import time:      1181 |       1181 |                                   openai.types.chat.chat_completion_allowed_tools_param
import time:      1404 |       2584 |                                 openai.types.chat.chat_completion_allowed_tool_choice_param
import time:      1964 |       1964 |                                 openai.types.chat.chat_completion_named_tool_choice_custom_param
import time:      1640 |       7534 |                               openai.types.chat.chat_completion_tool_choice_option_param
import time:      1627 |       1627 |                               openai.types.chat.chat_completion_function_call_option_param
import time:      5523 |      51944 |                             openai.types.chat.completion_create_params
import time:      1158 |       1158 |                             openai.types.chat.completion_update_params
import time:       979 |        979 |                             openai.types.chat.chat_completion_tool_param
import time:      2278 |       2278 |                             openai.types.chat.chat_completion_function_tool
import time:      2301 |       2301 |                               openai.types.chat.chat_completion_content_part_text
import time:      2839 |       2839 |                               openai.types.chat.chat_completion_content_part_image
import time:      1965 |       7104 |                             openai.types.chat.chat_completion_store_message
import time:       806 |        806 |                             openai.types.chat.chat_completion_reasoning_effort
import time:      1121 |       1121 |                             openai.types.chat.chat_completion_message_tool_call_param
import time:      2167 |     123231 |                           openai.types.chat
import time:      1399 |       1399 |                           openai.types.responses.custom_tool_param
import time:      1470 |       1470 |                           openai.types.responses.computer_tool_param
import time:      2175 |       2175 |                           openai.types.responses.function_tool_param
import time:      2103 |       2103 |                           openai.types.responses.namespace_tool_param
import time:      1674 |       1674 |                           openai.types.responses.apply_patch_tool_param
import time:      1701 |       1701 |                           openai.types.responses.file_search_tool_param
import time:      1209 |       1209 |                           openai.types.responses.tool_search_tool_param
import time:      1103 |       1103 |                                 openai.types.responses.inline_skill_source_param
import time:      1069 |       2172 |                               openai.types.responses.inline_skill_param
import time:      1176 |       1176 |                               openai.types.responses.skill_reference_param
import time:      1121 |       1121 |                               openai.types.responses.container_network_policy_disabled_param
import time:      1236 |       1236 |                                 openai.types.responses.container_network_policy_domain_secret_param
import time:      1376 |       2611 |                               openai.types.responses.container_network_policy_allowlist_param
import time:      1531 |       8609 |                             openai.types.responses.container_auto_param
import time:      1186 |       1186 |                               openai.types.responses.local_skill_param
import time:      1551 |       2737 |                             openai.types.responses.local_environment_param
import time:      1631 |       1631 |                             openai.types.responses.container_reference_param
import time:      1445 |      14420 |                           openai.types.responses.function_shell_tool_param
import time:      1624 |       1624 |                           openai.types.responses.web_search_preview_tool_param
import time:      1631 |       1631 |                           openai.types.responses.computer_use_preview_tool_param
import time:      4872 |     159013 |                         openai.types.responses.tool_param
import time:      1874 |       1874 |                           openai.types.responses.response_input_message_item
import time:      2218 |       2218 |                           openai.types.responses.response_custom_tool_call_item
import time:      2451 |       2451 |                           openai.types.responses.response_function_tool_call_item
import time:     10157 |      16700 |                         openai.types.responses.response_item
import time:       962 |        962 |                         openai.types.responses.response_input
import time:      5453 |       5453 |                         openai.types.responses.parsed_response
import time:      2500 |       2500 |                         openai.types.responses.compacted_response
import time:      2074 |       2074 |                         openai.types.responses.response_item_list
import time:       968 |        968 |                         openai.types.responses.response_includable
import time:      1864 |       1864 |                         openai.types.responses.response_error_event
import time:      2272 |       2272 |                         openai.types.responses.response_input_audio
import time:      1800 |       1800 |                               openai.types.responses.response_input_file_param
import time:      1498 |       1498 |                               openai.types.responses.response_input_text_param
import time:      1438 |       1438 |                               openai.types.responses.response_input_image_param
import time:       974 |       5708 |                             openai.types.responses.response_input_message_content_list_param
import time:      1265 |       6973 |                           openai.types.responses.easy_input_message_param
import time:      2444 |       2444 |                             openai.types.responses.response_output_text_param
import time:      1318 |       1318 |                             openai.types.responses.response_output_refusal_param
import time:      1427 |       5188 |                           openai.types.responses.response_output_message_param
import time:      1727 |       1727 |                           openai.types.responses.response_reasoning_item_param
import time:      1773 |       1773 |                           openai.types.responses.response_custom_tool_call_param
import time:      3370 |       3370 |                             openai.types.responses.computer_action_list_param
import time:      3329 |       6699 |                           openai.types.responses.response_computer_tool_call_param
import time:      1951 |       1951 |                           openai.types.responses.response_function_tool_call_param
import time:      2904 |       2904 |                           openai.types.responses.response_function_web_search_param
import time:      1353 |       1353 |                           openai.types.responses.response_compaction_item_param_param
import time:      1858 |       1858 |                           openai.types.responses.response_file_search_tool_call_param
import time:      1778 |       1778 |                           openai.types.responses.response_custom_tool_call_output_param
import time:      2094 |       2094 |                           openai.types.responses.response_code_interpreter_tool_call_param
import time:      1544 |       1544 |                           openai.types.responses.response_tool_search_output_item_param_param
import time:      1472 |       1472 |                             openai.types.responses.response_input_file_content_param
import time:      1726 |       1726 |                             openai.types.responses.response_input_text_content_param
import time:      2192 |       2192 |                             openai.types.responses.response_input_image_content_param
